fighter_name,weight_lbs,height_cms,stance
Henry Cejudo,135.0,162.56,Orthodox
Tony Ferguson,155.0,180.34,Orthodox
Jimmie Rivera,135.0,162.56,Orthodox
Tai Tuivasa,264.0,187.96,Southpaw
Aljamain Sterling,135.0,170.18,Orthodox
Ricardo Lamas,145.0,172.72,Orthodox
Bevon Lewis,185.0,190.5,Orthodox
Eddie Wineland,135.0,170.18,Orthodox
Alexander Gustafsson,205.0,195.58,Orthodox
Jimi Manuwa,205.0,185.42,Orthodox
Makwan Amirkhani,145.0,177.8,Southpaw
Damir Hadzovic,155.0,175.26,Orthodox
Daniel Teymur,145.0,165.1,Orthodox
Rostem Akman,170.0,177.8,Switch
Stevie Ray,155.0,177.8,Southpaw
Nick Hein,155.0,167.64,Southpaw
Darko Stosic,205.0,182.88,Orthodox
Joel Alvarez,155.0,190.5,Orthodox
Rafael Dos Anjos,170.0,172.72,Southpaw
Antonio Carlos Junior,185.0,187.96,Orthodox
Vicente Luque,170.0,180.34,Orthodox
Charles Oliveira,155.0,177.8,Orthodox
Davi Ramos,155.0,167.64,Orthodox
Desmond Green,155.0,177.8,Southpaw
Danny Roberts,170.0,185.42,Southpaw
Michael Trizano,155.0,180.34,Orthodox
Patrick Cummins,205.0,187.96,Orthodox
Zak Cummings,185.0,182.88,Southpaw
Julio Arce,145.0,170.18,Southpaw
Jared Cannonier,185.0,180.34,Switch
Jose Aldo,145.0,170.18,Orthodox
Thiago Alves,170.0,175.26,Orthodox
Rogerio Nogueira,205.0,187.96,Southpaw
Thiago Moises,155.0,175.26,Orthodox
Warlley Alves,170.0,180.34,Orthodox
BJ Penn,155.0,175.26,Orthodox
Raoni Barcelos,135.0,170.18,Orthodox
Al Iaquinta,155.0,177.8,Orthodox
Derek Brunson,185.0,185.42,Southpaw
Cub Swanson,145.0,172.72,Orthodox
Brad Katona,135.0,167.64,Orthodox
Walt Harris,250.0,195.58,Southpaw
Marc-Andre Barriault,185.0,185.42,Orthodox
Aiemann Zahabi,135.0,172.72,Orthodox
Nordine Taleb,170.0,185.42,Orthodox
Kyle Nelson,155.0,180.34,Switch
Arjan Bhullar,245.0,185.42,Orthodox
Mitch Gagnon,135.0,165.1,Southpaw
Jacare Souza,185.0,185.42,Orthodox
Greg Hardy,265.0,195.58,Orthodox
Alex Oliveira,170.0,180.34,Orthodox
Glover Teixeira,205.0,187.96,Orthodox
John Lineker,135.0,160.02,Orthodox
Roosevelt Roberts,155.0,187.96,Orthodox
Ben Saunders,170.0,187.96,Orthodox
Andrei Arlovski,240.0,190.5,Orthodox
Gilbert Burns,155.0,177.8,Orthodox
Jim Miller,155.0,172.72,Southpaw
Court McGee,170.0,180.34,Orthodox
Alistair Overeem,265.0,193.04,Orthodox
Islam Makhachev,155.0,177.8,Orthodox
Sergei Pavlovich,257.0,190.5,Southpaw
Krzysztof Jotko,185.0,185.42,Southpaw
Movsar Evloev,145.0,170.18,Orthodox
Sultan Aliev,170.0,180.34,Orthodox
Alexander Yakovlev,155.0,190.5,Southpaw
Marcin Tybura,249.0,190.5,Orthodox
Gadzhimurad Antigulov,205.0,180.34,Orthodox
Magomed Mustafaev,155.0,172.72,Orthodox
Max Holloway,155.0,180.34,Orthodox
Kelvin Gastelum,185.0,175.26,Southpaw
Eryk Anders,185.0,185.42,Southpaw
Alan Jouban,170.0,182.88,Southpaw
Ovince Saint Preux,205.0,190.5,Southpaw
Jalin Turner,155.0,190.5,Southpaw
Wilson Reis,125.0,162.56,Southpaw
Max Griffin,170.0,180.34,Orthodox
Boston Salmon,135.0,175.26,Southpaw
Curtis Millender,170.0,187.96,Orthodox
Montel Jackson,135.0,177.8,Southpaw
Brandon Davis,135.0,177.8,Orthodox
Edson Barboza,155.0,180.34,Orthodox
David Branch,185.0,185.42,Orthodox
